,Height above sea level,Lines,Bakerloo,,Central,,District,,Hammersmith & City,,Jubilee,,Metropolitan,,Northern,,Piccadilly,,Victoria,,Circle,,Waterloo & City,,Elizabeth Line,
Station Name,Ground Level outside Station,,Northbound,Southbound,Eastbound,Westbound,Eastbound,Westbound,Eastbound,Westbound,Eastbound,Westbound,Eastbound,Westbound,Northbound,Southbound,Eastbound,Westbound,Northbound,Southbound,Eastbound,Westbound,Northbound,Southbound,Eastbound,Westbound
Debden ,37,CEN, , ,136.4,136.4, , , , , , , , , , , , , , ,,, , ,,
Dollis Hill ,37,JUB, , , , , , , , ,139.4,139.4, , , , , , , , ,,, , ,,
Ealing Broadway ,33,CEN;DIS;EL, , ,127.9,127.9,127.9,127.9, , , , , , , , , , , , ,,, , ,,
Ealing Common ,29,DIS;PIC, , , , ,124,124, , , , , , , , ,124,124, , ,,, , ,,
Earls Court ,8,DIS;PIC, , , , ,102.2,102.2, , , , , , , , ,87.4,87.4, , ,,, , ,,
East Acton ,12,CEN, , ,117.9,117.9, , , , , , , , , , , , , , ,,, , ,,
East Finchley ,83,NOR, , , , , , , , , , , , ,187.4,187.4, , , , ,,, , ,,
East Ham ,11,DIS;H&C, , , , ,105.7,105.7,105.7,105.7, , , , , , , , , , ,,, , ,,
East Putney ,17,DIS, , , , ,125,125, , , , , , , , , , , , ,,, , ,,
Eastcote ,53,MET;PIC, , , , , , , , , , ,148.1,148.1, , ,148.1,148.1, , ,,, , ,,
Edgware ,59,NOR, , , , , , , , , , , , ,154.6,154.6, , , , ,,, , ,,
Edgware Road (Bakerloo),32,BAK,107.1,107.1, , , , , , , , , , , , , , , , ,,, , ,,
"Edgware Road (Circle, District, H & C)",30,DIS;CIR;H&C, , , , ,124.8,124.8,124.8,124.8, , , , , , , , , , ,124.8,124.8, , ,,
Elephant & Castle ,3,NOR;BAK,80.2,80.2, , , , , , , , , , ,84.6,84.7, , , , ,,, , ,,
Elm Park ,18,DIS, , , , ,112.3,112.3, , , , , , , , , , , , ,,, , ,,
Embankment ,5,NOR;BAK;DIS;CIR,85.1,85.1, , ,99.6,99.6,99.6,99.6, , , , ,88.6,88.8, , , , ,,, , ,,
Epping ,81,CEN, , ,179.5,179.5, , , , , , , , , , , , , , ,,, , ,,
Euston City Branch,25,NOR;VIC, , , , , , , , , , , , ,91.9,92.6, , ,92.5,92.5,,, , ,,
Euston Charing X Branch,25,NOR, , , , , , , , , , , , ,103.6,103.6, , , , ,,, , ,,
Euston Square ,25,MET;H&C;CIR, , , , , , ,118.1,118.1, , ,118.1,118.1, , , , , , ,118.1,118.1, , ,,
Fairlop ,30,CEN, , ,135.2,135.2, , , , , , , , , , , , , , ,,, , ,,
Farringdon ,11,MET;H&C;CIR;EL, , , , , , ,106.5,106.5, , ,106.5,106.5, , , , , , ,106.5,106.5, , ,75,75
Finchley Central ,87,NOR, , , , , , , , , , , , ,178.5,178.5, , , , ,,, , ,,
Finchley Road ,52,MET;JUB, , , , , , , , ,148.7,148.7,148.7,148.7, , , , , , ,,, , ,,
Finsbury Park ,32,PIC;VIC, , , , , , , , , , , , , , ,123.9,123.9,123.5,123.4,,, , ,,
Fulham Broadway ,4,DIS, , , , ,98.7,98.7, , , , , , , , , , , , ,,, , ,,
Gants Hill ,25,CEN, , ,107,110.1, , , , , , , , , , , , , , ,,, , ,,
Gloucester Road ,7,DIS;PIC, , , , ,100,100, , , , , , , , ,87.4,87.4, , ,,, , ,,
Golders Green ,70,NOR, , , , , , , , , , , , ,173.1,173.1, , , , ,,, , ,,
Goldhawk Road ,5,H&C;CIR, , , , , , ,111,111, , , , , , , , , , ,111,111, , ,,
Goodge Street ,27,NOR, , , , , , , , , , , , ,98.1,98.1, , , , ,,, , ,,
Grange Hill ,55,CEN, , ,148.8,148.8, , , , , , , , , , , , , , ,,, , ,,
Great Portland Street ,29,MET;H&C;CIR, , , , , , ,121.4,121.4, , ,121.4,121.4, , , , , , ,121.4,121.4, , ,,
Green Park ,18,PIC;VIC;JUB, , , , , , , , ,87,87, , , , ,91.5,91.5,94.5,95.3,,, , ,,
Greenford ,22,CEN, , ,132.2,132.2, , , , , , , , , , , , , , ,,, , ,,
Gunnersbury ,10,DIS, , , , ,106,106, , , , , , , , , , , , ,,, , ,,
Hainault ,36,CEN, , ,141.2,141.2, , , , , , , , , , , , , , ,,, , ,,
Hammersmith  ,5,H&C;CIR, , , , , , ,104.4,104.4, , , , , , , , , , ,104.4,104.4, , ,,
Hammersmith  (District),5,PIC;DIS, , , , ,100.4,100.4, , , , , , , , ,100.4,100.4, , ,,, , ,,
Hampstead ,108,NOR, , , , , , , , , , , , ,149.1,149.9, , , , ,,, , ,,
Hanger Lane ,40,CEN, , ,131.9,131.9, , , , , , , , , , , , , , ,,, , ,,
Harlesden ,38,BAK, , , , , , , , , , , , , , ,131.8,131.8, , ,,, , ,,
Harrow & Wealdstone ,52,BAK, , , , , , , , , , , , , , ,154.2,154.2, , ,,, , ,,
Harrow On The Hill ,69,MET, , , , , , , , , , ,167.1,167.1, , , , , , ,,, , ,,
Hatton Cross ,22,PIC, , , , , , , , , , , , , , ,113.4,113.4, , ,,, , ,,
"Heathrow Airport Terminal 1, 2 & 3 ",23,PIC;EL, , , , , , , , , , , , , , , ,109.6, , ,,, , ,,
Heathrow Terminal 4 ,23,PIC;EL, , , , , , , , , , , , , , , ,112.9, , ,,, , ,,
Heathrow Terminal 5,23,PIC;EL,,,,,,,,,,,,,,,110.3,110.3,,,,,,,,
Hendon Central ,64,NOR, , , , , , , , , , , , ,161.5,161.5, , , , ,,, , ,,
High Barnet ,111,NOR, , , , , , , , , , , , ,198.4,198.4, , , , ,,, , ,,
High Street Kensington ,13,DIS;CIR, , , , ,107.3,107.3, , , , , , , , , , , , ,107.3,107.3, , ,,
Highbury & Islington ,34,VIC, , , , , , , , , , , , , , , , ,117.8,117.9,,, , ,,
Highgate ,100,NOR, , , , , , , , , , , , ,162.7,162.7, , , , ,,, , ,,
Hillingdon ,36,MET;PIC, , , , , , , , , , ,136.7,136.7, , ,136.7,136.7, , ,,, , ,,
Holborn ,23,CEN;PIC, , ,96.8,96.7, , , , , , , , , , ,88.3,81.9, , ,,, , ,,
Holland Park ,14,CEN, , ,95.2,95.2, , , , , , , , , , , , , , ,,, , ,,
Holloway Road ,29,PIC, , , , , , , , , , , , , , ,115.4,115.4, , ,,, , ,,
Hornchurch ,24,DIS, , , , ,118.2,118.2, , , , , , , , , , , , ,,, , ,,
Hounslow Central ,20,PIC, , , , , , , , , , , , , , ,124.9,124.9, , ,,, , ,,
Hounslow East ,20,PIC, , , , , , , , , , , , , , ,125.8,125.8, , ,,, , ,,
Hounslow West ,23,PIC, , , , , , , , , , , , , , ,117.7,117.7, , ,,, , ,,
Hyde Park Corner ,16,PIC, , , , , , , , , , , , , , ,88.9,88.9, , ,,, , ,,
Ickenham ,43,MET;PIC, , , , , , , , , , ,138.1,138.1, , ,138.1,138.1, , ,,, , ,,
Kennington City Branch,3,NOR, , , , , , , , , , , , ,87.1,84.4, , , , ,,, , ,,
Kennington Charing X Branch,3,NOR, , , , , , , , , , , , ,86.9,84.6, , , , ,,, , ,,
Kensal Green ,42,BAK, , , , , , , , , , , , , , ,135.4,135.4, , ,,, , ,,
Kensington (Olympia) ,4,DIS, , , , ,102.1,102.1, , , , , , , , , , , , ,,, , ,,
Kentish Town ,37,NOR, , , , , , , , , , , , ,115.9,112.9, , , , ,,, , ,,
Kenton ,56,BAK, , , , , , , , , , , , , , ,149.4,149.4, , ,,, , ,,
Kew Gardens ,8,DIS, , , , ,106,106, , , , , , , , , , , , ,,, , ,,
Kilburn ,45,JUB, , , , , , , , ,152.2,152.2, , , , , , , , ,,, , ,,
Kilburn Park ,27,BAK,119.5,119.5, , , , , , , , , , , , , , , , ,,, , ,,
King's Cross St Pancras,17,MET;H&C;CIR;NOR;PIC;VIC, , , , , , ,109.1,109.1, , ,109.1,109.1,88.9,88.9,94.4,94.4,99.9,99.9,109.1,109.1, , ,,
Kingsbury ,43,JUB, , , , , , , , ,138.3,138.3, , , , , , , , ,,, , ,,
