,Height above sea level,Lines,Bakerloo,,Central,,District,,Hammersmith & City,,Jubilee,,Metropolitan,,Northern,,Piccadilly,,Victoria,,Circle,,Waterloo & City,,Elizabeth Line,
Station Name,Ground Level outside Station,,Northbound,Southbound,Eastbound,Westbound,Eastbound,Westbound,Eastbound,Westbound,Eastbound,Westbound,Eastbound,Westbound,Northbound,Southbound,Eastbound,Westbound,Northbound,Southbound,Eastbound,Westbound,Northbound,Southbound,Eastbound,Westbound
Vauxhall ,4,VIC, , , , , , , , , , , , , , , , ,86.3,86.3,,, , ,,
Victoria ,4.6,DIS;CIR;VIC, , , , ,97,97, , , , , , , , , , ,85.2,85.2,97,97, , ,,
Walthamstow Central ,24,VIC, , , , , , , , , , , , , , , , ,106.9,106.7,,, , ,,
Wanstead ,29,CEN, , ,109.7,109.6, , , , , , , , , , , , , , ,,, , ,,
Wapping ,4,, , , , , , , , , , , , , , , , , , ,,, , ,,
Warren Street ,27,NOR;VIC, , , , , , , , , , , , ,101.7,101.6, , ,96.1,96.1,,, , ,,
Warwick Avenue ,27,BAK,112.5,112.5, , , , , , , , , , , , , , , , ,,, , ,,
Waterloo ,4,NOR;BAK;JUB;W&C,85.1,88.2, , , , , , ,74,74, , ,82.8,82.8, , , , ,,,98.2,98.2,,
Watford ,70,MET, , , , , , , , , , ,164.8,164.8, , , , , , ,,, , ,,
Wembley Central ,45,BAK, , , , , , , , , , , , , , ,138.5,138.5, , ,,, , ,,
Wembley Park ,41,MET;JUB, , , , , , , , ,136.7,136.7,136.7,136.7, , , , , , ,,, , ,,
West Acton ,33,CEN, , ,127.4,127.4, , , , , , , , , , , , , , ,,, , ,,
West Brompton ,7,DIS, , , , ,102,102.1, , , , , , , , , , , , ,,, , ,,
West Finchley ,78,NOR, , , , , , , , , , , , ,177.3,177.3, , , , ,,, , ,,
West Ham ,1,DIS;H&C, , , , ,104.7,104.7, , ,101.2,101.2, , , , , , , , ,,, , ,,
West Hampstead ,56,JUB, , , , , , , , ,150.5,150.5, , , , , , , , ,,, , ,,
West Harrow ,53,MET, , , , , , , , , , ,157.5,157.5, , , , , , ,,, , ,,
West Kensington ,5,DIS, , , , ,99.4,99.3, , , , , , , , , , , , ,,, , ,,
West Ruislip ,51,CEN, , ,145.1,145.1, , , , , , , , , , , , , , ,,, , ,,
Westbourne Park ,28,H&C;CIR, , , ,, , ,122.5,122.5, , , , , , , , , , ,122.5,122.5, , ,,
Westminster ,6,DIS;CIR;JUB, , , , ,99,99, , ,84,74.6, , , , , , , , ,99,99, , ,,
White City ,7,CEN, , ,105,105, , , , , , , , , , , , , , ,,, , ,,
Whitechapel ,12,DIS;H&C;EL, , , , ,109.1,109.1,109.1,109.1, , , , , , , , , , ,,, , ,70,70
Willesden Green ,56,JUB, , , , , , , , ,150.3,150.3, , , , , , , , ,,, , ,,
Willesden Junction ,40,BAK, , , , , , , , , , , , , , ,134.5,134.5, , ,,, , ,,
Wimbledon ,23,DIS, , , , ,119.3,119.3, , , , , , , , , , , , ,,, , ,,
Wimbledon Park ,23,DIS, , , , ,118.4,118.4, , , , , , , , , , , , ,,, , ,,
Wood Green ,25,PIC, , , , , , , , , , , , , , ,113.6,113.6, , ,,, , ,,
Wood Lane,6.7,H&C;CIR,,,,,,,113.1,113.1,,,,,,,,,,,113.1,113.1,,,,
Woodford ,32,CEN, , ,131.1,131.1, , , , , , , , , , , , , , ,,, , ,,
Woodside Park ,76,NOR, , , , , , , , , , , , ,174.3,174.3, , , , ,,, , ,,
Reading,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Twyford,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Maidenhead,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Taplow,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Burnham,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Slough,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Langley,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Iver,,EL,,,,,,,,,,,,,,,,,,,,,,,,
West Drayton,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Hayes & Harlington,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Southall,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Hanwell,,EL,,,,,,,,,,,,,,,,,,,,,,,,
West Ealing,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Acton Main Line,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Forest Gate,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Manor Park,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Ilford,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Seven Kings,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Goodmayes,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Chadwell Heath ,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Romford,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Gidea Park,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Harold Wood,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Brentwood,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Shenfield,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Abbey Wood,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Custom House,,EL,,,,,,,,,,,,,,,,,,,,,,,,
Woolwich,,EL,,,,,,,,,,,,,,,,,,,,,,,86,86
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
Levels are referred to London Underground Datum,,,,,,,,,,,,,,,,,,,,,,,,,,
London Underground Datum is 100m below Ordnance Datum Newlyn,,,,,,,,,,,,,,,,,,,,,,,,,,
Railway track  in station platforms is ideally level but small gradients do occur,,,,,,,,,,,,,,,,,,,,,,,,,,
The level value given is an approximation of the level throughout the platform,,,,,,,,,,,,,,,,,,,,,,,,,,
"Small variations to rail levels do occur due to settlement, rail wear, and track maintenance",,,,,,,,,,,,,,,,,,,,,,,,,,
"The Ground Level Outside Station, is indicative and is the height above Ordnance Datum",,,,,,,,,,,,,,,,,,,,,,,,,,
